iter	Passed	Remaining
407	5213	5251
408	5225	5237
409	5235	5223
410	5247	5209
411	5259	5195
412	5270	5181
413	5283	5168
414	5295	5155
415	5307	5141
416	5320	5128
417	5332	5115
418	5344	5101
419	5362	5093
420	5390	5095
421	5415	5094
422	5445	5097
423	5470	5095
424	5482	5082
425	5494	5068
426	5506	5054
427	5518	5041
428	5528	5026
429	5540	5012
430	5555	5001
431	5567	4987
432	5580	4974
433	5591	4960
434	5603	4946
435	5615	4933
436	5627	4919
437	5640	4906
438	5654	4894
439	5666	4881
440	5679	4867
441	5691	4854
442	5702	4840
443	5714	4826
444	5726	4812
445	5737	4798
446	5752	4787
447	5767	4775
448	5779	4762
449	5791	4749
450	5803	4735
451	5815	4721
452	5827	4707
453	5839	4694
454	5850	4680
455	5871	4673
456	5893	4668
457	5906	4655
458	5918	4641
459	5930	4628
460	5942	4614
461	5954	4600
462	5966	4587
463	5978	4574
464	5990	4560
465	6002	4546
466	6014	4533
467	6025	4519
468	6038	4505
469	6049	4492
470	6063	4479
471	6074	4466
472	6087	4453
473	6115	4451
474	6136	4444
475	6154	4434
476	6166	4421
477	6177	4407
478	6190	4393
479	6201	4380
480	6212	4365
481	6225	4352
482	6238	4339
483	6250	4326
484	6262	4312
485	6274	4299
486	6286	4285
487	6298	4272
488	6320	4265
489	6340	4257
490	6352	4243
491	6364	4230
492	6376	4216
493	6388	4203
494	6400	4189
495	6411	4175
496	6423	4161
497	6435	4148
498	6447	4134
499	6459	4121
500	6471	4107
501	6483	4093
502	6504	4086
503	6529	4081
504	6559	4078
505	6583	4072
506	6595	4058
507	6607	4045
508	6622	4033
509	6634	4019
510	6645	4005
511	6657	3991
512	6669	3978
513	6680	3963
514	6692	3950
515	6704	3936
516	6716	3923
517	6727	3909
518	6739	3895
519	6756	3884
520	6768	3871
521	6780	3858
522	6793	3844
523	6804	3831
524	6817	3817
525	6829	3804
526	6841	3790
527	6851	3776
528	6863	3762
529	6875	3749
530	6887	3735
531	6899	3722
532	6910	3708
533	6922	3694
534	6934	3681
535	6946	3667
536	6958	3654
537	6970	3640
538	6982	3627
539	6993	3613
540	7005	3600
541	7017	3586
542	7030	3573
543	7042	3560
544	7054	3546
545	7067	3533
546	7079	3520
547	7091	3506
548	7103	3493
549	7115	3479
550	7127	3466
551	7138	3453
552	7150	3439
553	7163	3426
554	7175	3413
555	7187	3399
556	7199	3386
557	7211	3373
558	7222	3359
559	7234	3346
560	7246	3332
561	7258	3319
562	7270	3306
563	7283	3292
564	7295	3279
565	7307	3266
566	7320	3253
567	7331	3240
568	7344	3226
569	7355	3213
570	7368	3200
571	7380	3186
572	7391	3173
573	7403	3160
574	7415	3146
575	7427	3133
576	7439	3120
577	7451	3106
578	7462	3093
579	7475	3080
580	7486	3066
581	7497	3053
582	7509	3039
583	7521	3026
584	7533	3013
585	7545	3000
586	7556	2986
587	7569	2973
588	7581	2960
589	7593	2947
590	7604	2933
591	7616	2920
592	7629	2907
593	7641	2894
594	7653	2881
595	7665	2868
596	7679	2855
597	7690	2841
598	7701	2828
599	7714	2815
600	7726	2802
601	7738	2789
602	7753	2777
603	7767	2764
604	7779	2751
605	7791	2738
606	7803	2725
607	7815	2712
608	7828	2699
609	7840	2686
610	7853	2673
611	7865	2660
612	7877	2647
613	7900	2637
614	7912	2624
615	7924	2611
616	7935	2598
617	7948	2585
618	7960	2571
619	7971	2558
620	7983	2545
621	7995	2532
622	8007	2519
623	8019	2506
624	8032	2493
625	8044	2480
626	8056	2467
627	8069	2454
628	8081	2441
629	8093	2428
630	8106	2415
631	8117	2402
632	8129	2388
633	8141	2375
634	8153	2362
635	8165	2349
636	8177	2336
637	8191	2323
638	8202	2310
639	8215	2297
640	8227	2284
641	8238	2271
642	8251	2258
643	8263	2245
644	8274	2232
645	8286	2219
646	8299	2206
647	8311	2193
648	8323	2180
649	8335	2167
650	8347	2154
651	8359	2141
652	8371	2128
653	8383	2115
654	8395	2102
655	8407	2089
656	8419	2076
657	8431	2063
658	8444	2050
659	8456	2037
660	8468	2024
661	8480	2011
662	8492	1998
663	8504	1985
664	8516	1972
665	8528	1959
666	8539	1946
667	8551	1933
668	8564	1920
669	8576	1907
670	8588	1894
671	8600	1881
672	8612	1868
673	8623	1855
674	8636	1842
675	8649	1829
676	8660	1816
677	8672	1803
678	8684	1790
679	8696	1777
680	8708	1764
681	8720	1751
682	8733	1738
683	8746	1726
684	8761	1713
685	8773	1700
686	8785	1687
687	8797	1675
688	8810	1662
689	8827	1650
690	8846	1638
691	8866	1627
692	8878	1614
693	8890	1601
694	8902	1588
695	8914	1575
696	8926	1562
697	8938	1549
698	8950	1536
699	8962	1523
700	8974	1510
701	8986	1497
702	8997	1484
703	9009	1471
704	9021	1458
705	9033	1445
706	9045	1432
707	9058	1420
708	9070	1407
709	9081	1394
710	9093	1381
711	9105	1368
712	9117	1355
713	9129	1342
714	9141	1329
715	9153	1316
716	9165	1303
717	9177	1291
718	9189	1278
719	9201	1265
720	9213	1252
721	9224	1239
722	9237	1226
723	9249	1213
724	9261	1200
725	9272	1187
726	9284	1174
727	9297	1162
728	9309	1149
729	9321	1136
730	9333	1123
731	9345	1110
732	9357	1097
733	9369	1084
734	9380	1072
735	9392	1059
736	9404	1046
737	9416	1033
738	9428	1020
739	9440	1007
740	9452	995
741	9464	982
742	9476	969
743	9487	956
744	9499	943
745	9511	930
746	9523	917
747	9535	905
748	9548	892
749	9561	879
750	9573	866
751	9584	853
752	9596	841
753	9609	828
754	9621	815
755	9633	802
756	9645	789
757	9657	777
758	9669	764
759	9681	751
760	9692	738
761	9704	725
762	9716	713
763	9728	700
764	9740	687
765	9756	675
766	9768	662
767	9780	649
768	9792	636
769	9804	623
770	9816	611
771	9828	598
772	9840	585
773	9852	572
774	9864	560
775	9875	547
776	9897	534
777	9914	522
778	9926	509
779	9938	496
780	9951	484
781	9963	471
782	9975	458
783	9987	445
784	9999	433
785	10011	420
786	10023	407
787	10036	394
788	10047	382
789	10061	369
790	10072	356
791	10085	343
792	10096	331
793	10109	318
794	10122	305
795	10134	292
796	10147	280
797	10158	267
798	10170	254
799	10182	241
800	10194	229
801	10206	216
802	10218	203
803	10230	190
804	10242	178
805	10253	165
806	10265	152
807	10277	139
808	10290	127
809	10302	114
810	10314	101
811	10327	89
812	10339	76
813	10351	63
814	10362	50
815	10375	38
816	10386	25
817	10398	12
818	10410	0
