iter	Logloss
257	0.1685821365
258	0.168549772
259	0.1684986376
260	0.1684753693
261	0.1684503818
262	0.1684079891
263	0.1683812266
264	0.1683523493
265	0.1683327402
266	0.1683140737
267	0.1682765339
268	0.1682462253
269	0.1682285708
270	0.1682023096
271	0.1681747968
272	0.1681483438
273	0.1681218001
274	0.1681022606
275	0.1680764151
276	0.1680587338
277	0.1680381552
278	0.1680106154
279	0.1679712209
280	0.1679405336
281	0.1679081104
282	0.1678823125
283	0.1678578782
284	0.1678315533
285	0.1678013827
286	0.1677695778
287	0.1677544902
288	0.1677314141
289	0.1677074647
290	0.1676810809
291	0.1676592776
292	0.1676403022
293	0.1676123956
294	0.1675928131
295	0.1675628827
296	0.1675380694
297	0.1675166974
298	0.1674990426
299	0.1674772065
300	0.1674501306
301	0.1674317463
302	0.1674079672
303	0.1673597736
304	0.1673372515
305	0.1673128813
306	0.1672716639
307	0.167250116
308	0.1672309222
309	0.1672014712
310	0.1671797419
311	0.1671606227
312	0.167143165
313	0.1671096859
314	0.1670867051
315	0.1670635706
316	0.1670423315
317	0.1670240221
318	0.1669985067
319	0.1669803624
320	0.1669617064
321	0.1669456546
322	0.1669216783
323	0.1669018404
324	0.1668871522
325	0.1668643744
326	0.1668469434
327	0.166831861
328	0.1668053285
329	0.1667858044
330	0.166769311
331	0.1667469963
332	0.1667212418
333	0.1666985437
334	0.16668164
335	0.1666662807
336	0.1666522208
337	0.1666371863
338	0.1666193453
339	0.166604215
340	0.166582817
341	0.1665630424
342	0.1665280722
343	0.1665103749
344	0.1664897376
345	0.1664723595
346	0.1664505455
347	0.1664370237
348	0.1664177022
349	0.1663851497
350	0.1663707436
351	0.1663551233
352	0.1663375805
353	0.1663229669
354	0.1663047265
355	0.1662821881
356	0.1662667649
357	0.1662456006
358	0.1662281536
359	0.1662083299
360	0.1661885875
361	0.1661708315
362	0.1661535656
363	0.1661421952
364	0.1661261222
365	0.1661121529
366	0.1660959574
367	0.1660712768
368	0.1660572543
369	0.1660445685
370	0.1660292678
371	0.1660152506
372	0.1659982776
373	0.1659849739
374	0.1659677028
375	0.165954431
376	0.1659378415
377	0.1659183755
378	0.1659041664
379	0.1658891691
380	0.1658743903
381	0.165852459
382	0.1658386225
383	0.1658262454
384	0.1658011881
385	0.1657900787
386	0.1657683549
387	0.1657420973
388	0.1657272968
389	0.1657101744
390	0.1656973128
391	0.1656864804
392	0.1656709773
393	0.1656589785
394	0.1656462927
395	0.1656319771
396	0.165618322
397	0.1656048267
398	0.165585383
399	0.1655675845
400	0.1655563314
401	0.1655398111
402	0.1655255968
403	0.1655092414
404	0.1654950006
405	0.1654829485
406	0.165471248
407	0.1654557129
408	0.165448683
409	0.1654260754
410	0.1654174051
411	0.1653999688
412	0.1653828679
413	0.1653702566
414	0.165358817
415	0.1653471058
416	0.1653377273
417	0.1653226342
418	0.1653090485
419	0.1652997019
420	0.1652839429
421	0.1652693505
422	0.1652562066
423	0.1652441703
424	0.1652333432
425	0.1652233788
426	0.1652087541
427	0.1651929048
428	0.1651728216
429	0.1651538035
430	0.1651481263
431	0.1651363086
432	0.1651220784
433	0.1651149367
434	0.1650954606
435	0.165084415
436	0.1650717084
437	0.1650541549
438	0.1650442066
439	0.1650244109
440	0.1650100848
441	0.1650006796
442	0.164981113
443	0.1649739872
444	0.1649657111
445	0.1649508737
446	0.1649377619
447	0.1649237074
448	0.1649121985
449	0.1648986498
450	0.1648827633
451	0.1648677554
452	0.1648494723
453	0.1648372604
454	0.164818843
455	0.1648007035
456	0.1647938706
457	0.1647832991
458	0.1647713959
459	0.1647580496
460	0.1647421311
461	0.1647286144
462	0.1647133191
463	0.164701757
464	0.1646859077
465	0.164680566
466	0.1646617076
467	0.1646479939
468	0.1646289386
469	0.1646186121
470	0.1646034018
471	0.1645886656
472	0.1645835795
473	0.164574169
474	0.1645606734
475	0.1645356784
476	0.1645194088
477	0.164508816
478	0.1644959915
479	0.1644837637
480	0.1644679357
481	0.1644594521
482	0.1644499935
483	0.1644410729
484	0.1644259906
485	0.1644127349
486	0.1643969335
487	0.1643897757
488	0.1643828257
489	0.1643719777
490	0.1643664709
491	0.1643523578
492	0.1643389477
493	0.1643255908
494	0.1643116587
495	0.1642971461
496	0.1642803648
497	0.1642684243
498	0.1642563935
499	0.1642450551
500	0.1642350799
501	0.1642192359
502	0.164212664
503	0.164199877
504	0.1641856521
505	0.164174058
506	0.164164387
507	0.164159466
508	0.1641512218
509	0.1641461251
510	0.1641367199
511	0.164124343
512	0.1641075617
513	0.1640952805
514	0.1640834733
515	0.1640613983
516	0.1640478444
517	0.1640323359
518	0.164019714
519	0.1640086152
520	0.164001319
521	0.1639923612
522	0.1639829346
523	0.1639769539
524	0.1639651678
525	0.1639535418
526	0.1639433963
527	0.1639335277
528	0.1639177903
529	0.1639084064
530	0.1638976006
531	0.1638906826
532	0.1638773366
533	0.1638626473
534	0.1638537108
535	0.1638477034
536	0.1638336595
537	0.1638283977
538	0.1638175389
539	0.1638087568
540	0.1637943987
541	0.1637823359
542	0.1637654694
543	0.1637544825
544	0.1637473407
545	0.163737355
546	0.1637174795
547	0.1637081861
548	0.1636981258
549	0.1636883478
550	0.1636750601
551	0.1636640199
552	0.1636585877
553	0.1636472812
554	0.1636426959
555	0.1636314109
556	0.1636186985
557	0.1636113277
558	0.1635991798
559	0.1635861052
560	0.1635748893
561	0.1635614153
562	0.163552074
563	0.1635385574
564	0.163526223
565	0.1635193955
566	0.1635093297
567	0.1634981617
568	0.1634801555
569	0.1634755115
570	0.1634653021
571	0.1634568608
572	0.1634460283
573	0.1634379599
574	0.1634303494
575	0.1634173334
576	0.1634027996
577	0.1633825126
578	0.1633743857
579	0.1633709239
580	0.1633601236
581	0.1633557884
582	0.1633480129
583	0.1633374308
584	0.1633299056
585	0.1633250273
586	0.1633168523
587	0.1633028297
588	0.1632974987
589	0.1632882319
590	0.1632799982
591	0.1632707794
592	0.1632614274
593	0.1632514257
594	0.1632355924
595	0.1632309111
596	0.1632206911
597	0.1632117971
598	0.1631995852
599	0.1631923316
600	0.1631802529
601	0.1631705335
602	0.1631557865
603	0.1631477078
604	0.1631372801
605	0.1631339462
606	0.1631249883
607	0.1631141292
608	0.1631057413
609	0.1630962881
610	0.1630846305
611	0.1630761041
612	0.1630664378
613	0.1630630986
614	0.1630465356
615	0.1630403578
616	0.1630321083
617	0.1630224902
618	0.1630115086
619	0.163003307
620	0.1629975287
621	0.1629880759
622	0.1629769878
623	0.1629695532
624	0.1629612451
625	0.1629473291
626	0.1629334818
627	0.1629290562
628	0.1629218452
629	0.1629104269
630	0.1629033277
631	0.1628934961
632	0.1628773208
633	0.1628707381
634	0.1628584624
635	0.1628501223
636	0.162841974
637	0.1628263538
638	0.1628195636
639	0.1628109945
640	0.162801632
641	0.1627887917
642	0.1627714033
643	0.1627639101
644	0.1627541854
645	0.1627452062
646	0.1627283022
647	0.1627207343
648	0.1627136191
649	0.162698819
650	0.1626902126
651	0.1626857443
652	0.1626741183
653	0.1626600424
654	0.1626523786
655	0.1626432983
656	0.162630841
657	0.1626175214
658	0.1626058688
659	0.1626022846
660	0.1625899929
661	0.1625782923
662	0.1625660858
663	0.1625557007
664	0.1625493683
665	0.1625435154
666	0.1625327788
667	0.1625227666
668	0.162513931
669	0.1625031624
670	0.1624894221
671	0.1624811514
672	0.162473264
673	0.1624669691
674	0.1624572337
675	0.1624467153
676	0.1624402498
677	0.1624378958
678	0.162429428
679	0.1624203903
680	0.1624178126
681	0.1624057925
682	0.1624019633
683	0.1623871313
684	0.1623771349
685	0.1623744881
686	0.1623635651
687	0.1623559495
688	0.1623475508
689	0.1623387102
690	0.162330743
691	0.1623191596
692	0.1623162411
693	0.1623078265
694	0.1622965729
695	0.1622874872
696	0.1622724898
697	0.1622599266
698	0.1622517623
699	0.1622432465
700	0.1622389273
701	0.1622292133
702	0.1622170973
703	0.1622117717
704	0.1622020682
705	0.162191747
706	0.1621808612
707	0.1621771279
708	0.1621701087
709	0.1621626579
710	0.1621466597
711	0.1621328075
712	0.1621228325
713	0.1621158185
714	0.1621091028
715	0.1621020355
716	0.1620986164
717	0.1620918048
718	0.1620884017
719	0.1620776119
720	0.1620672267
721	0.1620636425
722	0.1620510632
723	0.162040726
724	0.1620237292
725	0.1620149259
726	0.1620111821
727	0.1619993429
728	0.1619950771
729	0.1619865346
730	0.161975878
731	0.1619678735
732	0.1619613921
733	0.1619510919
734	0.1619405096
735	0.161935397
736	0.1619303375
737	0.1619224236
738	0.1619191749
739	0.1619158144
740	0.1619048275
741	0.1618987721
742	0.1618922161
743	0.161884153
744	0.1618798552
745	0.1618718826
746	0.1618605708
747	0.1618497436
748	0.1618418561
749	0.1618329728
750	0.1618258311
751	0.1618165696
752	0.1618073189
753	0.1617992824
754	0.1617910221
755	0.1617861917
756	0.1617780487
757	0.1617703371
758	0.1617552388
759	0.1617466431
760	0.1617349267
761	0.1617253778
762	0.1617153169
763	0.1617061194
764	0.161702189
765	0.1616930929
766	0.1616853759
767	0.1616795176
768	0.1616760346
769	0.1616652767
770	0.1616565956
771	0.1616503487
772	0.1616410071
773	0.1616301959
774	0.161627091
775	0.1616241672
776	0.1616158911
777	0.1616043451
778	0.1616015704
779	0.1615980555
780	0.1615912546
781	0.1615838625
782	0.1615751497
783	0.1615654995
784	0.1615537723
785	0.1615480737
786	0.1615378963
787	0.1615311114
788	0.1615283473
789	0.1615158425
790	0.1615090843
791	0.1615001211
792	0.1614912274
793	0.1614836754
794	0.1614706312
795	0.1614622804
796	0.1614518315
797	0.1614429907
798	0.1614337082
799	0.161425954
800	0.1614162506
801	0.1614085549
802	0.1614003056
803	0.1613930733
804	0.1613847599
805	0.161378401
806	0.1613692142
807	0.161360544
808	0.1613508566
809	0.1613439863
810	0.1613364931
811	0.1613262837
812	0.1613208621
813	0.1613124046
814	0.1613033668
815	0.1612996122
816	0.161290468
817	0.1612871556
818	0.1612812334
